                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.285,                 3.7461,                 1.2602,                0.06016,                0.13102,                0.12611,                0.09123,                 1.0548,                 3.5584,                 1.0335,             0.00013584,             0.00013584,             0.00013584
                      2,                 1.0335,                 2.2626,                 1.1082,                0.86083,                0.20364,                0.22885,                0.17562,                0.99421,                  2.295,                 1.0258,              0.0002694,              0.0002694,              0.0002694
                      3,                0.97926,                 1.7456,                 1.0978,                0.81779,                0.29519,                0.30237,                0.23758,                0.90653,                 1.5613,                0.99591,             0.00039745,             0.00039745,             0.00039745
                      4,                0.95054,                 1.4877,                 1.0769,                0.80752,                0.33355,                0.36907,                0.29559,                0.86851,                 1.3452,                0.97943,             0.00039223,             0.00039223,             0.00039223
                      5,                0.88531,                  1.331,                 1.0519,                0.81209,                0.42017,                0.40504,                0.34097,                0.85487,                 1.3189,                 0.9701,             0.00039223,             0.00039223,             0.00039223
                      6,                0.85917,                 1.2189,                  1.036,                0.65751,                0.44953,                0.45355,                0.37556,                 0.8355,                 1.1819,                 0.9625,             0.00038397,             0.00038397,             0.00038397
                      7,                0.83468,                  1.178,                 1.0276,                0.60609,                0.46142,                0.45857,                0.38528,                0.80432,                  1.155,                0.94384,             0.00037572,             0.00037572,             0.00037572
                      8,                0.80489,                 1.1263,                 1.0155,                0.50054,                0.48803,                0.47797,                0.39579,                0.80871,                 1.1015,                0.93501,             0.00036746,             0.00036746,             0.00036746
                      9,                0.80142,                 1.1184,                 1.0132,                0.53852,                 0.4662,                0.47306,                0.39903,                0.79439,                 1.0895,                 0.9277,              0.0003592,              0.0003592,              0.0003592
                     10,                0.78027,                 1.0687,                  1.005,                 0.5848,                0.48213,                0.48966,                0.41664,                 0.7529,                 1.0491,                0.91244,             0.00035095,             0.00035095,             0.00035095
                     11,                 0.7692,                 1.0225,                 0.9974,                0.63966,                0.47308,                0.49256,                0.41619,                0.76112,                 1.0303,                0.91365,             0.00034269,             0.00034269,             0.00034269
                     12,                0.74427,                 1.0069,                0.98977,                0.64057,                0.48644,                0.50519,                0.43687,                0.69747,                 1.0002,                0.89082,             0.00033443,             0.00033443,             0.00033443
                     13,                0.73482,                0.96997,                0.98198,                0.64129,                0.49286,                0.51732,                0.44337,                0.72061,                0.97722,                0.89798,             0.00032618,             0.00032618,             0.00032618
                     14,                0.72812,                0.97606,                0.98219,                0.64512,                0.49833,                0.54055,                0.46432,                0.71499,                0.95133,                0.90472,             0.00031792,             0.00031792,             0.00031792
                     15,                0.71389,                0.93112,                0.97261,                0.63542,                0.51865,                0.55918,                 0.4738,                 0.7148,                0.93974,                0.89603,             0.00030966,             0.00030966,             0.00030966
                     16,                0.70647,                0.92875,                0.97462,                 0.5836,                0.51391,                0.54617,                0.47264,                0.68835,                0.95234,                0.88813,             0.00030141,             0.00030141,             0.00030141
                     17,                0.69911,                0.92929,                  0.968,                0.56942,                0.54849,                0.56498,                0.48915,                0.67569,                0.91994,                0.88471,             0.00029315,             0.00029315,             0.00029315
                     18,                0.69864,                0.91394,                0.97013,                0.70303,                0.53561,                0.58761,                 0.5084,                0.68222,                0.89711,                0.87562,             0.00028489,             0.00028489,             0.00028489
                     19,                0.70652,                 0.9048,                0.96815,                0.65951,                0.57122,                0.57799,                0.49638,                0.65951,                0.88307,                0.87708,             0.00027664,             0.00027664,             0.00027664
                     20,                0.68842,                0.89636,                0.96029,                0.77172,                0.54656,                0.60164,                0.50366,                0.67671,                0.87971,                0.87826,             0.00026838,             0.00026838,             0.00026838
                     21,                0.69019,                0.89312,                0.96572,                0.67068,                0.60167,                0.59783,                0.51111,                0.66403,                0.86891,                 0.8813,             0.00026012,             0.00026012,             0.00026012
                     22,                 0.6743,                0.86861,                0.96078,                 0.6131,                0.61354,                0.60142,                0.51787,                0.65627,                0.87449,                0.87214,             0.00025187,             0.00025187,             0.00025187
                     23,                0.67373,                0.86233,                0.95958,                0.75295,                0.53389,                0.60047,                0.51182,                0.65398,                0.85665,                0.86436,             0.00024361,             0.00024361,             0.00024361
                     24,                0.65036,                0.82762,                0.94777,                0.66705,                0.63409,                0.60781,                 0.5218,                0.64691,                0.83345,                0.86816,             0.00023535,             0.00023535,             0.00023535
                     25,                0.66134,                0.84231,                0.95029,                0.66301,                0.62848,                0.61327,                0.52673,                0.65191,                0.84154,                0.87429,              0.0002271,              0.0002271,              0.0002271
                     26,                0.66726,                0.83117,                0.95516,                0.73473,                0.58656,                0.60096,                0.52039,                 0.6489,                 0.8282,                0.87169,             0.00021884,             0.00021884,             0.00021884
                     27,                0.65601,                0.81809,                0.95194,                0.68568,                0.57699,                0.59319,                 0.5173,                0.65141,                0.80956,                 0.8641,             0.00021059,             0.00021059,             0.00021059
                     28,                0.64879,                0.83182,                0.95154,                0.73212,                0.52526,                0.60631,                0.52995,                0.63135,                0.83789,                 0.8618,             0.00020233,             0.00020233,             0.00020233
                     29,                0.65918,                0.81589,                0.94961,                0.68176,                0.55456,                0.60184,                0.52365,                 0.6249,                0.80654,                0.86055,             0.00019407,             0.00019407,             0.00019407
                     30,                0.63951,                0.81779,                0.94885,                0.67739,                0.61508,                0.60623,                 0.5274,                0.61782,                0.78063,                0.85099,             0.00018582,             0.00018582,             0.00018582
                     31,                0.63509,                0.81254,                0.93874,                0.68946,                0.56095,                0.60121,                0.51686,                0.61819,                0.80031,                0.84867,             0.00017756,             0.00017756,             0.00017756
                     32,                0.63536,                0.81059,                0.94491,                0.68239,                 0.6016,                0.61074,                0.52256,                 0.6158,                0.78944,                0.84834,              0.0001693,              0.0001693,              0.0001693
                     33,                0.62508,                0.79098,                0.94015,                0.62164,                0.60185,                0.60559,                0.52159,                0.62222,                0.78774,                0.85232,             0.00016105,             0.00016105,             0.00016105
                     34,                0.63396,                0.78271,                0.94174,                 0.6943,                0.57625,                 0.6168,                0.53494,                0.61469,                 0.7693,                0.85023,             0.00015279,             0.00015279,             0.00015279
                     35,                0.61872,                0.77063,                0.93831,                0.67266,                0.60544,                0.61717,                0.53492,                0.60643,                0.76799,                0.84684,             0.00014453,             0.00014453,             0.00014453
                     36,                 0.6098,                0.76684,                0.92788,                0.68955,                0.59182,                0.61443,                0.53458,                 0.6054,                0.76554,                0.84857,             0.00013628,             0.00013628,             0.00013628
                     37,                0.60627,                0.76057,                0.93132,                0.60827,                0.61126,                0.61499,                0.53525,                0.60486,                0.76456,                 0.8478,             0.00012802,             0.00012802,             0.00012802
                     38,                0.60226,                0.74619,                 0.9354,                0.60786,                   0.63,                0.61557,                0.53153,                0.60124,                0.76138,                 0.8476,             0.00011976,             0.00011976,             0.00011976
